794	903
3900	3427	546
3864	3436	546
3840	3445	545
3814	3435	544
3778	3421	541
3753	3447	539
3719	3436	535
3671	3443	531
3664	3438	526
3618	3452	521
3595	3430	514
3568	3438	515
3536	3444	515
3506	3430	514
3490	3445	515
3447	3432	515
3420	3423	535
3398	3421	551
3370	3420	566
3321	3423	585
3300	3436	600
3271	3437	613
3249	3438	631
3218	3435	644
3205	3439	655
3159	3437	669
3122	3439	680
3121	3426	689
3078	3436	698
3037	3435	708
3010	3430	715
2981	3432	720
2963	3425	720
2920	3430	724
2891	3420	726
2874	3445	726
2847	3432	726
2802	3430	724
2784	3434	721
2737	3425	716
2716	3416	711
2687	3433	704
2663	3451	696
2638	3423	686
2619	3436	677
2581	3430	665
2552	3436	653
2507	3431	641
2474	3446	628
2462	3421	613
2420	3439	599
2404	3428	582
2372	3422	565
2334	3428	544
2298	3423	544
2270	3402	528
2239	3397	541
2220	3404	550
2190	3383	557
2172	3381	565
2139	3366	574
2099	3383	581
2044	3391	588
2032	3375	595
1997	3375	599
1963	3379	603
1916	3367	607
1903	3367	609
1873	3379	612
1865	3367	612
1816	3373	612
1770	3379	611
1756	3380	610
1718	3383	607
1676	3377	603
1670	3376	598
1628	3375	593
1595	3367	588
1566	3371	579
1532	3358	573
1500	3378	564
1477	3369	555
1439	3387	545
1408	3370	546
1369	3389	541
1342	3379	552
1319	3368	552
1307	3365	553
1256	3379	557
1228	3379	545
1199	3371	548
1198	3386	549
1170	3370	551
1150	3373	561
1121	3375	569
1082	3367	577
1048	3367	585
1001	3363	591
995	3370	596
947	3410	601
931	3370	606
907	3367	609
867	3364	611
848	3384	613
830	3377	613
791	3371	613
759	3387	613
727	3382	610
704	3389	608
682	3385	604
650	3377	599
615	3376	593
620	3375	588
560	3379	581
527	3363	574
519	3361	567
472	3380	559
443	3368	554
408	3384	554
406	3380	555
383	3380	555
344	3364	556
303	3379	555
267	3382	556
241	3386	556
219	3384	556
189	3370	902
175	3355	767
135	3373	556
102	3378	556
81	3384	557
60	3374	557
17	3374	557
7	3362	557
4062	3376	558
4035	3365	557
3989	3364	557
3957	3374	557
3926	3355	557
3912	3383	558
3885	3368	558
3868	3374	558
3823	3373	557
3784	3375	558
3770	3369	558
3725	3365	557
3713	3369	558
3665	3364	558
3663	3399	558
3611	3371	558
3586	3371	558
3565	3374	558
3512	3375	558
3507	3379	558
3467	3367	559
3432	3371	558
3413	3365	558
3384	3374	558
3363	3372	559
3333	3378	572
3294	3382	584
3247	3374	597
3246	3376	611
3224	3376	622
3194	3380	633
3168	3382	646
3129	3383	656
3089	3383	664
3055	3387	673
3032	3386	681
